DATE,TXPOP
2010-01-01,25241.897
2011-01-01,25645.504
2012-01-01,26084.12
2013-01-01,26479.646
2014-01-01,26963.092
2015-01-01,27468.531
2016-01-01,27914.064
2017-01-01,28291.024
2018-01-01,28624.564
2019-01-01,28986.794
2020-01-01,29232.474
2021-01-01,29558.864
2022-01-01,30029.572
